id,name,bn_name,established_year,enroll,bn_name,organization_type,lat,lon,website
49,Uttara Adhunik Medical College,উত্তরা আধুনিক মেডিকেল কলেজ,2007,90,ঢাকা,PRIVATE,,,
50,Shaheed Monsur Ali Medical College,শহীদ মনসুর আলী মেডিকেল কলেজ,1994,140,ঢাকা,PRIVATE,,,
51,Enam Medical College and Hospital,এনাম মেডিকেল কলেজ এবং হাসপাতাল,2003,140,ঢাকা,PRIVATE,,,
52,Community Based Medical College,কমিউনিটি বেসড মেডিকেল কলেজ,1995,125,ময়মনসিংহ,PRIVATE,,,
53,Ibn Sina Medical College,ইবনে সিনা মেডিকেল কলেজ,1995,65,ঢাকা,PRIVATE,,,
54,Shahabuddin Medical College,শাহাবুদ্দিন মেডিকেল কলেজ,2003,90,ঢাকা,PRIVATE,,,
55,Medical College for Women & Hospital,মেডিকেল কলেজ ফর ওয়েমেন এন্ড হাসপাতাল,1992,90,ঢাকা,PRIVATE,,,
56,Z. H. Sikder Women's Medical College,জেড এইচ সিকদার ওয়ামেনস মেডিকেল কলেজ,1992,100,ঢাকা,PRIVATE,,,
57,Kumudini Women's Medical College,কুমুদিনী ওয়ামেনস মেডিকেল কলেজ,2001,120,টাঙ্গাইল,PRIVATE,,,
58,Tairunnessa Memorial Medical College,তাইরুন্নেসা মেমোরিয়াল মেডিকেল কলেজ,1992,100,গাজীপুর,PRIVATE,,,
59,Ad-din Women's Medical College,আদ-দিন ওয়ামেনস মেডিকেল কলেজ,2008,95,ঢাকা,PRIVATE,,,
60,International Medical College,ইন্টারন্যাশনাল মেডিকেল কলেজ,2000,120,গাজীপুর,PRIVATE,,,
61,Central Medical College,সেন্ট্রাল মেডিকেল কলেজ,2005,75,ফেনী,PRIVATE,,,
62,B.G.C Trust Medical College,বি.জি.সি ট্রাস্ট মেডিকেল কলেজ,2002,100,চট্টগ্রাম,PRIVATE,,,
63,Eastern Medical College,ইস্টার্ণ মেডিকেল কলেজ,2005,105,ফেনী,PRIVATE,,,
64,Islami Bank Medical College,ইসলামী ব্যাংক মেডিকেল কলেজ,2003,75,রাজশাহী,PRIVATE,,,
65,Khwaja Yunus Ali Medical College,খাজা ইউনুস আলী মেডিকেল কলেজ,2005,95,মুন্সিগঞ্জ,PRIVATE,,,
66,Jalalabad Ragib-Rabeya Medical College,জালালাবাদ রাগিব-রাবেয়া মেডিকেল কলেজ,1995,175,মৌলভীবাজার,PRIVATE,,,
67,East West Medical College,ইস্ট ওয়েস্ট মেডিকেল কলেজ,2000,120,ঢাকা,PRIVATE,,,
68,North East Medical College,নর্থ ইস্ট মেডিকেল কলেজ,1997,120,মৌলভীবাজার,PRIVATE,,,
69,Institute of Applied Health Sciences,ইনস্টিটিউট অব অ্যাপ্লাইড হেলথ সাইন্সস,1989,75,চট্টগ্রাম,PRIVATE,,,
70,Gonoshasthaya Samaj Vittik Medical College,গণস্বাস্থ্য সমাজ বিট্টিক মেডিকেল কলেজ,1998,50,ঢাকা,PRIVATE,,,
71,Chattagram Maa-O-Shishu Hospital Medical College,চট্টগ্রাম মা-ও-শিশু হাসপাতাল মেডিকেল কলেজ,2005,110,চট্টগ্রাম,PRIVATE,,,
72,T.M.S.S. Medical College,টি.এম.এস.এস. মেডিকেল কলেজ,2008,150,বগুড়া,PRIVATE,,,
73,Prime Medical College,প্রাইম মেডিকেল কলেজ,2008,125,রংপুর,PRIVATE,,,
74,North Bengal Medical College,নর্থ বেঙ্গল মেডিকেল কলেজ,2000,85,সিরাজগঞ্জ,PRIVATE,,,
75,Rangpur Community Medical College,রংপুর কমিউনিটি মেডিকেল কলেজ,2001,125,রংপুর,PRIVATE,,,
76,Delta Medical College,ডেলটা মেডিকেল কলেজ,2006,90,ঢাকা,PRIVATE,,,
77,Southern Medical College,সাউথার্ন মেডিকেল কলেজ,2006,95,চট্টগ্রাম,PRIVATE,,,
78,Anwer Khan Modern Medical College,আনোয়ার খান মডার্ন মেডিকেল কলেজ,2008,120,ঢাকা,PRIVATE,,,
79,Ad-din Sakina Medical College,আদ-দিন সাকিনা মেডিকেল কলেজ,2012,65,যশোর,PRIVATE,,,
80,Popular Medical College,পপুলার মেডিকেল কলেজ,2010,90,ঢাকা,PRIVATE,,,
81,Green Life Medical College,গ্রিন লাইফ মেডিকেল কলেজ,2010,100,ঢাকা,PRIVATE,,,
82,Dhaka Community Medical College,ঢাকা কমিউনিটি মেডিকেল কলেজ,2008,100,ঢাকা,PRIVATE,,,
83,Northern Private Medical College,নর্থান প্রাইভেট মেডিকেল কলেজ,2001,70,রংপুর,PRIVATE,,,
84,Sylhet Women's Medical College,সিলেট ওয়ামেনস মেডিকেল কলেজ,2005,100,মৌলভীবাজার,PRIVATE,,,
85,Monno Medical College,মন্নো মেডিকেল কলেজ,2002,80,ঢাকা,PRIVATE,,,
86,MH Samorita Medical College,এম.এইচ শমরিতা মেডিকেল কলেজ,2010,110,ঢাকা,PRIVATE,,,
87,City Medical College,সিটি মেডিকেল কলেজ,2011,80,গাজীপুর,PRIVATE,,,
88,Marks Medical College,মার্কস মেডিকেল কলেজ,2011,70,ঢাকা,PRIVATE,,,
89,Diabetic Association Medical College,ডায়াবেটিক এসোসিয়েশন মেডিকেল কলেজ,2010,80,ফরিদপুর,PRIVATE,,,
90,Barind Medical College,বরিন্দ মেডিকেল কলেজ,2011,100,রাজশাহী,PRIVATE,,,
91,Gazi Medical College,গাজী মেডিকেল কলেজ,2011,90,খুলনা,PRIVATE,,,
92,Northern International Medical College,নর্দার্ণ ইন্টারন্যাশনাল মেডিকেল কলেজ,2005,75,ঢাকা,PRIVATE,,,
93,Dhaka Central International Medical College,ঢাকা সেন্ট্রাল ইন্টারন্যাশনাল মেডিকেল কলেজ,2011,90,ঢাকা,PRIVATE,,,
94,Dr. Sirajul Islam Medical College,ডাঃ সিরাজুল ইসলাম মেডিকেল কলেজ,2011,100,ঢাকা,PRIVATE,,,
95,Mainamoti Medical College,ময়নামতি মেডিকেল কলেজ,2011,100,ফেনী,PRIVATE,,,
96,CARe Medical College,কেয়ার মেডিকেল কলেজ,2014,50,ঢাকা,PRIVATE,,,
97,Bikrampur Bhuiyans Medical College,বিক্রমপুর ভূঁইয়ানস মেডিকেল কলেজ,2014,50,মুন্সিগঞ্জ,PRIVATE,,,
98,Universal Medical College,ইউনিভার্সাল মেডিকেল কলেজ,2014,50,ঢাকা,PRIVATE,,,
99,Ashiyan Medical College,আশিয়ান মেডিকেল কলেজ,2012,50,ঢাকা,PRIVATE,,,
100,US-Bangla Medical College,ইউএস-বাংলা মেডিকেল কলেজ,2013,60,ঢাকা,PRIVATE,,,
101,President Abdul Hamid Medical College,প্রেসিডেন্ট আব্দুল হামিদ মেডিকেল কলেজ,2013,70,কিশোরগঞ্জ,PRIVATE,,,
102,Brahmanbaria Medical College,ব্রাহ্মণবাড়িয়া মেডিকেল কলেজ,2010,50,ব্রাহ্মণবাড়িয়া,PRIVATE,,,
103,Parkview Medical College,পার্কভিউ মেডিকেল কলেজ,2013,50,মৌলভীবাজার,PRIVATE,,,
104,Ad-Din Akij Medical College,আদ-দিন আকিজ মেডিকেল কলেজ,2013,50,খুলনা,PRIVATE,,,
105,Shah Mokhdum Medical College(Black list by MOHFW),শাহ মখদুম মেডিকেল কলেজ (মন্ত্রণালয়ের কালার তালিকায় রয়েছে),2012,50,রাজশাহী,PRIVATE,,,
106,Monowara Sikder Medical College,মনোয়ারা সিকদার মেডিকেল কলেজ,2015,50,শরীয়তপুর,PRIVATE,,,
